Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),Sec
2021-09-28 0:30:45,1004.7,16.52,0.08,71.39,1
2021-09-28 0:30:46,1004,16.52,0.09,77.26,2
2021-09-28 0:30:47,1004.2,16.52,0.09,75.58,3
2021-09-28 0:30:48,1004.4,16.52,0.09,73.9,4
2021-09-28 0:30:49,1004.7,16.53,0.08,71.39,5
2021-09-28 0:30:50,1004.4,16.52,0.09,73.9,6
2021-09-28 0:30:51,1004.2,16.52,0.09,75.58,7
2021-09-28 0:30:52,1004.1,16.52,0.09,76.42,8
2021-09-28 0:30:53,1004.4,16.52,0.09,73.9,9
2021-09-28 0:30:54,1004.7,16.52,0.08,71.39,10
2021-09-28 0:30:55,1004.6,16.52,0.09,72.23,11
2021-09-28 0:30:56,1004,16.52,0.09,77.26,12
2021-09-28 0:30:57,1004.6,16.52,0.09,72.23,13
2021-09-28 0:30:58,1004.8,16.52,0.08,70.55,14
2021-09-28 0:30:59,1004.4,16.52,0.09,73.9,15
2021-09-28 0:31:00,1004.7,16.52,0.08,71.39,16
2021-09-28 0:31:01,1005.1,16.52,0.08,68.04,17
2021-09-28 0:31:02,1005.1,16.52,0.08,68.04,18
2021-09-28 0:31:03,1004.7,16.52,0.08,71.39,19
2021-09-28 0:31:04,1004.5,16.52,0.09,73.06,20
2021-09-28 0:31:05,1004.5,16.52,0.09,73.06,21
2021-09-28 0:31:06,1004.5,16.52,0.09,73.06,22
2021-09-28 0:31:07,1004.7,16.52,0.08,71.39,23
2021-09-28 0:31:08,1005,16.52,0.08,68.88,24
2021-09-28 0:31:09,1004.5,16.52,0.09,73.06,25
2021-09-28 0:31:10,1004.8,16.52,0.08,70.55,26
2021-09-28 0:31:11,1004.5,16.51,0.09,73.06,27
2021-09-28 0:31:12,1004.6,16.51,0.09,72.23,28
2021-09-28 0:31:13,1004.6,16.52,0.09,72.23,29
2021-09-28 0:31:14,1004.7,16.51,0.08,71.39,30
2021-09-28 0:31:15,1004.7,16.52,0.08,71.39,31
2021-09-28 0:31:16,1004.8,16.51,0.08,70.55,32
2021-09-28 0:31:17,1004.5,16.51,0.09,73.06,33
2021-09-28 0:31:18,1004.9,16.51,0.08,69.71,34
2021-09-28 0:31:19,1005.2,16.51,0.08,67.2,35
2021-09-28 0:31:20,1004.7,16.51,0.08,71.39,36
2021-09-28 0:31:21,1004.8,16.51,0.08,70.55,37
2021-09-28 0:31:22,1004.6,16.51,0.09,72.23,38
2021-09-28 0:31:23,1004.7,16.51,0.08,71.39,39
2021-09-28 0:31:24,1004.5,16.51,0.09,73.06,40
2021-09-28 0:31:25,1005,16.51,0.08,68.88,41
2021-09-28 0:31:26,1004.8,16.51,0.08,70.55,42
2021-09-28 0:31:27,1005.3,16.52,0.08,66.36,43
2021-09-28 0:31:28,1004.9,16.51,0.08,69.71,44
2021-09-28 0:31:29,1004.8,16.51,0.08,70.55,45
2021-09-28 0:31:30,1004.7,16.51,0.08,71.39,46
2021-09-28 0:31:31,1004.8,16.51,0.08,70.55,47
2021-09-28 0:31:32,1004.8,16.51,0.08,70.55,48
2021-09-28 0:31:33,1004.8,16.51,0.08,70.55,49
2021-09-28 0:31:34,1004.6,16.52,0.09,72.23,50
2021-09-28 0:31:35,1005,16.52,0.08,68.88,51
2021-09-28 0:31:36,1004.9,16.52,0.08,69.71,52
2021-09-28 0:31:37,1005.3,16.52,0.08,66.36,53
2021-09-28 0:31:38,1004.9,16.52,0.08,69.71,54
2021-09-28 0:31:39,1004.9,16.52,0.08,69.71,55
2021-09-28 0:31:40,1004.7,16.52,0.08,71.39,56
2021-09-28 0:31:41,1004.8,16.53,0.08,70.55,57
2021-09-28 0:31:43,1004.8,16.53,0.08,70.55,58
2021-09-28 0:31:44,1004.7,16.53,0.08,71.39,59
2021-09-28 0:31:45,1004.8,16.54,0.08,70.55,60
2021-09-28 0:31:46,1005.4,16.54,0.08,65.52,61
2021-09-28 0:31:47,1004.7,16.54,0.08,71.39,62
