Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level)
2024-08-20T11:41:18,996.00,27.84,-0.17,144.53,0
2024-08-20T11:41:19,995.00,27.84,-0.18,152.97,1
2024-08-20T11:41:20,996.00,27.84,-0.17,144.53,2
2024-08-20T11:41:21,995.00,27.85,-0.18,152.97,3
2024-08-20T11:41:22,995.00,27.85,-0.18,152.97,4
2024-08-20T11:41:23,995.00,27.85,-0.18,152.97,5
2024-08-20T11:41:24,995.00,27.85,-0.18,152.97,6
2024-08-20T11:41:26,995.00,27.86,-0.18,152.97,7
2024-08-20T11:41:27,995.00,27.86,-0.18,152.97,8
2024-08-20T11:41:28,995.00,27.86,-0.18,152.97,9
2024-08-20T11:41:29,995.00,27.86,-0.18,152.97,10
2024-08-20T11:41:30,995.00,27.86,-0.18,152.97,11
2024-08-20T11:41:31,996.00,27.87,-0.17,144.53,12
2024-08-20T11:41:32,996.00,27.87,-0.17,144.53,13
2024-08-20T11:41:33,995.00,27.87,-0.18,152.97,14
2024-08-20T11:41:34,996.00,27.87,-0.17,144.53,15
2024-08-20T11:41:35,996.00,27.88,-0.17,144.53,16
2024-08-20T11:41:36,995.00,27.88,-0.18,152.97,17
2024-08-20T11:41:37,996.00,27.88,-0.17,144.53,18
2024-08-20T11:41:38,996.00,27.88,-0.17,144.53,19
2024-08-20T11:41:39,996.00,27.89,-0.17,144.53,20
2024-08-20T11:41:40,996.00,27.89,-0.17,144.53,21
2024-08-20T11:41:41,996.00,27.89,-0.17,144.53,22
2024-08-20T11:41:42,996.00,27.89,-0.17,144.53,23
2024-08-20T11:41:43,996.00,27.89,-0.17,144.53,24
2024-08-20T11:41:44,995.00,27.90,-0.18,152.97,25
2024-08-20T11:41:45,995.00,27.90,-0.18,152.97,26
2024-08-20T11:41:46,996.00,27.90,-0.17,144.53,27
2024-08-20T11:41:47,996.00,27.90,-0.17,144.53,28
2024-08-20T11:41:48,996.00,27.90,-0.17,144.53,29
2024-08-20T11:41:49,996.00,27.90,-0.17,144.53,30
2024-08-20T11:41:50,996.00,27.90,-0.17,144.53,31
2024-08-20T11:41:51,995.00,27.91,-0.18,152.97,32
2024-08-20T11:41:52,996.00,27.91,-0.17,144.53,33
2024-08-20T11:41:53,996.00,27.91,-0.17,144.53,34
2024-08-20T11:41:54,996.00,27.91,-0.17,144.53,35
2024-08-20T11:41:55,996.00,27.91,-0.17,144.53,36
2024-08-20T11:41:56,996.00,27.91,-0.17,144.53,37
2024-08-20T11:41:57,996.00,27.91,-0.17,144.53,38
2024-08-20T11:41:58,995.00,27.92,-0.18,152.97,39
2024-08-20T11:41:59,996.00,27.91,-0.17,144.53,40
2024-08-20T11:42:00,996.00,27.91,-0.17,144.53,41
2024-08-20T11:42:01,996.00,27.92,-0.17,144.53,42
2024-08-20T11:42:02,996.00,27.92,-0.17,144.53,43
2024-08-20T11:42:03,996.00,27.92,-0.17,144.53,44
2024-08-20T11:42:04,996.00,27.92,-0.17,144.53,45
2024-08-20T11:42:05,996.00,27.92,-0.17,144.53,46
2024-08-20T11:42:06,996.00,27.92,-0.17,144.53,47
2024-08-20T11:42:07,995.00,27.92,-0.18,152.97,48
2024-08-20T11:42:08,996.00,27.92,-0.17,144.53,49
2024-08-20T11:42:09,996.00,27.92,-0.17,144.53,50
2024-08-20T11:42:10,996.00,27.92,-0.17,144.53,51
2024-08-20T11:42:11,996.00,27.92,-0.17,144.53,52
2024-08-20T11:42:12,996.00,27.91,-0.17,144.53,53
2024-08-20T11:42:13,996.00,27.92,-0.17,144.53,54
2024-08-20T11:42:14,996.00,27.91,-0.17,144.53,55
2024-08-20T11:42:15,996.00,27.92,-0.17,144.53,56
2024-08-20T11:42:16,996.00,27.92,-0.17,144.53,57
2024-08-20T11:42:17,996.00,27.91,-0.17,144.53,58
2024-08-20T11:42:18,996.00,27.91,-0.17,144.53,59
2024-08-20T11:42:19,996.00,27.92,-0.17,144.53,60
2024-08-20T11:42:20,996.00,27.91,-0.17,144.53,61
2024-08-20T11:42:21,996.00,27.92,-0.17,144.53,62
2024-08-20T11:42:22,996.00,27.92,-0.17,144.53,63
2024-08-20T11:42:23,996.00,27.92,-0.17,144.53,64
2024-08-20T11:42:24,996.00,27.92,-0.17,144.53,65
2024-08-20T11:42:25,996.00,27.91,-0.17,144.53,66
2024-08-20T11:42:26,996.00,27.92,-0.17,144.53,67
2024-08-20T11:42:27,996.00,27.92,-0.17,144.53,68
2024-08-20T11:42:28,996.00,27.92,-0.17,144.53,69
2024-08-20T11:42:29,996.00,27.92,-0.17,144.53,70
2024-08-20T11:42:30,996.00,27.93,-0.17,144.53,71
2024-08-20T11:42:31,996.00,27.92,-0.17,144.53,72
2024-08-20T11:42:32,996.00,27.93,-0.17,144.53,73
2024-08-20T11:42:33,996.00,27.93,-0.17,144.53,74
2024-08-20T11:42:34,996.00,27.93,-0.17,144.53,75
2024-08-20T11:42:35,996.00,27.93,-0.17,144.53,76
2024-08-20T11:42:36,996.00,27.94,-0.17,144.53,77
2024-08-20T11:42:37,996.00,27.94,-0.17,144.53,78
2024-08-20T11:42:38,996.00,27.94,-0.17,144.53,79
2024-08-20T11:42:39,996.00,27.94,-0.17,144.53,80
2024-08-20T11:42:40,996.00,27.94,-0.17,144.53,81
2024-08-20T11:42:41,996.00,27.94,-0.17,144.53,82
2024-08-20T11:42:42,996.00,27.95,-0.17,144.53,83
2024-08-20T11:42:43,996.00,27.95,-0.17,144.53,84
2024-08-20T11:42:44,996.00,27.95,-0.17,144.53,85
2024-08-20T11:42:45,996.00,27.95,-0.17,144.53,86
2024-08-20T11:42:46,996.00,27.95,-0.17,144.53,87
2024-08-20T11:42:47,996.00,27.96,-0.17,144.53,88
2024-08-20T11:42:48,996.00,27.96,-0.17,144.53,89
2024-08-20T11:42:50,996.00,27.96,-0.17,144.53,90
2024-08-20T11:42:51,997.00,27.96,-0.16,136.10,91
2024-08-20T11:42:52,996.00,27.97,-0.17,144.53,92
2024-08-20T11:42:53,996.00,27.97,-0.17,144.53,93
2024-08-20T11:42:54,996.00,27.97,-0.17,144.53,94
2024-08-20T11:42:55,996.00,27.97,-0.17,144.53,95
2024-08-20T11:42:56,996.00,27.97,-0.17,144.53,96
2024-08-20T11:42:57,996.00,27.98,-0.17,144.53,97
2024-08-20T11:42:58,996.00,27.97,-0.17,144.53,98
2024-08-20T11:42:59,996.00,27.98,-0.17,144.53,99
2024-08-20T11:43:00,996.00,27.98,-0.17,144.53,100
2024-08-20T11:43:01,996.00,27.98,-0.17,144.53,101
2024-08-20T11:43:02,996.00,27.98,-0.17,144.53,102
2024-08-20T11:43:03,996.00,27.98,-0.17,144.53,103
2024-08-20T11:43:04,996.00,27.98,-0.17,144.53,104
2024-08-20T11:43:05,996.00,27.99,-0.17,144.53,105
2024-08-20T11:43:06,996.00,27.98,-0.17,144.53,106
2024-08-20T11:43:07,996.00,27.98,-0.17,144.53,107
2024-08-20T11:43:08,996.00,27.99,-0.17,144.53,108
2024-08-20T11:43:09,996.00,27.99,-0.17,144.53,109
2024-08-20T11:43:10,996.00,27.99,-0.17,144.53,110
2024-08-20T11:43:11,996.00,27.99,-0.17,144.53,111
2024-08-20T11:43:12,996.00,27.99,-0.17,144.53,112
2024-08-20T11:43:13,996.00,27.99,-0.17,144.53,113
2024-08-20T11:43:14,996.00,28.00,-0.17,144.53,114
2024-08-20T11:43:15,996.00,27.99,-0.17,144.53,115
2024-08-20T11:43:16,996.00,27.99,-0.17,144.53,116
