Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),Timestamp(Sec),,,
2024-08-28 11:41:19,1003,32.4,-0.1,85.64,0,,,
2024-08-28 11:41:20,1003,32.39,-0.1,85.64,1,,,
2024-08-28 11:41:21,1002,32.37,-0.11,94.03,2,,,
2024-08-28 11:41:22,1003,32.35,-0.1,85.64,3,,,
2024-08-28 11:41:23,1003,32.33,-0.1,85.64,4,,,
2024-08-28 11:41:24,1002,32.31,-0.11,94.03,5,,,
2024-08-28 11:41:25,1002,32.29,-0.11,94.03,6,,,
2024-08-28 11:41:26,1003,32.26,-0.1,85.64,7,,,
2024-08-28 11:41:27,1003,32.24,-0.1,85.64,8,,, 
2024-08-28 11:41:28,1003,32.23,-0.1,85.64,9,,,
2024-08-28 11:41:29,1003,32.21,-0.1,85.64,10,,,
2024-08-28 11:41:30,1003,32.2,-0.1,85.64,11,,,
2024-08-28 11:41:31,1003,32.18,-0.1,85.64,12,,, 
2024-08-28 11:41:32,1002,32.17,-0.11,94.03,13,,,
2024-08-28 11:41:33,1003,32.16,-0.1,85.64,14,,,
2024-08-28 11:41:34,1003,32.15,-0.1,85.64,15,,,
2024-08-28 11:41:36,1003,32.14,-0.1,85.64,16,,,
2024-08-28 11:41:37,1003,32.13,-0.1,85.64,17,,,
2024-08-28 11:41:38,1003,32.11,-0.1,85.64,18,,,
2024-08-28 11:41:39,1002,32.1,-0.11,94.03,19,,,
2024-08-28 11:41:40,1003,32.09,-0.1,85.64,20,,,
2024-08-28 11:41:41,1003,32.08,-0.1,85.64,21,,,
2024-08-28 11:41:42,1003,32.07,-0.1,85.64,22,,,
2024-08-28 11:41:43,1002,32.07,-0.11,94.03,23,,,
2024-08-28 11:41:44,1002,32.06,-0.11,94.03,24,,,
2024-08-28 11:41:45,1002,32.05,-0.11,94.03,25,,,
2024-08-28 11:41:46,1002,32.04,-0.11,94.03,26,,,
2024-08-28 11:41:47,1002,32.03,-0.11,94.03,27,,,
2024-08-28 11:41:48,1002,32.03,-0.11,94.03,28,,,
2024-08-28 11:41:49,1002,32.02,-0.11,94.03,29,,,
2024-08-28 11:41:50,1003,32.01,-0.1,85.64,30,,,
2024-08-28 11:41:51,1002,32.01,-0.11,94.03,31,,,
2024-08-28 11:41:52,1002,32,-0.11,94.03,32,,,
2024-08-28 11:41:53,1002,31.99,-0.11,94.03,33,,,
2024-08-28 11:41:54,1003,31.98,-0.1,85.64,34,,,
2024-08-28 11:41:55,1003,31.97,-0.1,85.64,35,,,
2024-08-28 11:41:56,1002,31.96,-0.11,94.03,36,,,
2024-08-28 11:41:57,1003,31.95,-0.1,85.64,37,,,
2024-08-28 11:41:58,1002,31.94,-0.11,94.03,38,,,
2024-08-28 11:41:59,1002,31.93,-0.11,94.03,39,,,
2024-08-28 11:42:00,1002,31.92,-0.11,94.03,40,,,
2024-08-28 11:42:01,1003,31.91,-0.1,85.64,41,,,
