Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),
2024-10-06 7:38:48,1001,23.08,-0.12,102.43,0
2024-10-06 7:38:49,1001,23.08,-0.12,102.43,1
2024-10-06 7:38:50,1001,23.07,-0.12,102.43,2
2024-10-06 7:38:51,1001,23.07,-0.12,102.43,3
2024-10-06 7:38:52,1001,23.05,-0.12,102.43,4
2024-10-06 7:38:53,1000,23.04,-0.13,110.84,5
2024-10-06 7:38:54,1001,23.03,-0.12,102.43,6
2024-10-06 7:38:55,1001,23.02,-0.12,102.43,7
2024-10-06 7:38:56,1001,23.01,-0.12,102.43,8
2024-10-06 7:38:57,1001,23,-0.12,102.43,9
2024-10-06 7:38:58,1002,23,-0.11,94.03,10
2024-10-06 7:38:59,1001,22.99,-0.12,102.43,11
2024-10-06 7:39:00,1001,22.99,-0.12,102.43,12
2024-10-06 7:39:01,1001,22.98,-0.12,102.43,13
2024-10-06 7:39:02,1001,22.97,-0.12,102.43,14
2024-10-06 7:39:03,1001,22.97,-0.12,102.43,15
2024-10-06 7:39:04,1001,22.96,-0.12,102.43,16
2024-10-06 7:39:05,1001,22.96,-0.12,102.43,17
2024-10-06 7:39:06,1001,22.96,-0.12,102.43,18
2024-10-06 7:39:07,1001,22.95,-0.12,102.43,19
2024-10-06 7:39:08,1000,22.95,-0.13,110.84,20
2024-10-06 7:39:09,1001,22.95,-0.12,102.43,21
2024-10-06 7:39:10,1000,22.95,-0.13,110.84,22
2024-10-06 7:39:11,1000,22.95,-0.13,110.84,23
2024-10-06 7:39:12,1001,22.95,-0.12,102.43,24
2024-10-06 7:39:13,1001,22.96,-0.12,102.43,25
2024-10-06 7:39:14,1001,22.96,-0.12,102.43,26
2024-10-06 7:39:15,1001,22.96,-0.12,102.43,27
2024-10-06 7:39:16,1001,22.96,-0.12,102.43,28
2024-10-06 7:39:17,1001,22.96,-0.12,102.43,29
2024-10-06 7:39:18,1001,22.96,-0.12,102.43,30
2024-10-06 7:39:19,1001,22.96,-0.12,102.43,31
2024-10-06 7:39:20,1001,22.96,-0.12,102.43,32
2024-10-06 7:39:21,1001,22.96,-0.12,102.43,33
2024-10-06 7:39:22,1001,22.96,-0.12,102.43,34
2024-10-06 7:39:23,1001,22.97,-0.12,102.43,35
2024-10-06 7:39:24,1002,22.96,-0.11,94.03,36
2024-10-06 7:39:25,1002,22.97,-0.11,94.03,37
2024-10-06 7:39:26,1001,22.97,-0.12,102.43,38
2024-10-06 7:39:27,1001,22.98,-0.12,102.43,39
2024-10-06 7:39:28,1001,22.99,-0.12,102.43,40
2024-10-06 7:39:29,1001,22.99,-0.12,102.43,41
2024-10-06 7:39:30,1002,23,-0.11,94.03,42
2024-10-06 7:39:31,1001,23.01,-0.12,102.43,43
2024-10-06 7:39:32,1001,23.01,-0.12,102.43,44
2024-10-06 7:39:33,1001,23.02,-0.12,102.43,45
2024-10-06 7:39:34,1002,23.03,-0.11,94.03,46
2024-10-06 7:39:35,1002,23.04,-0.11,94.03,47
2024-10-06 7:39:36,1002,23.04,-0.11,94.03,48
2024-10-06 7:39:37,1001,23.05,-0.12,102.43,49
2024-10-06 7:39:38,1001,23.06,-0.12,102.43,50
2024-10-06 7:39:39,1001,23.06,-0.12,102.43,51
2024-10-06 7:39:41,1001,23.07,-0.12,102.43,52
2024-10-06 7:39:42,1001,23.08,-0.12,102.43,53
2024-10-06 7:39:43,1002,23.08,-0.11,94.03,54
2024-10-06 7:39:44,1002,23.09,-0.11,94.03,55
2024-10-06 7:39:45,1001,23.09,-0.12,102.43,56
2024-10-06 7:39:46,1002,23.09,-0.11,94.03,57
2024-10-06 7:39:47,1001,23.1,-0.12,102.43,58
2024-10-06 7:39:48,1001,23.09,-0.12,102.43,59
2024-10-06 7:39:49,1001,23.1,-0.12,102.43,60
2024-10-06 7:39:50,1002,23.1,-0.11,94.03,61
2024-10-06 7:39:51,1002,23.1,-0.11,94.03,62
2024-10-06 7:39:52,1002,23.1,-0.11,94.03,63
2024-10-06 7:39:53,1002,23.1,-0.11,94.03,64
2024-10-06 7:39:54,1001,23.11,-0.12,102.43,65
2024-10-06 7:39:55,1002,23.1,-0.11,94.03,66
2024-10-06 7:39:56,1002,23.1,-0.11,94.03,67
2024-10-06 7:39:57,1002,23.1,-0.11,94.03,68
2024-10-06 7:39:58,1001,23.1,-0.12,102.43,69
2024-10-06 7:39:59,1002,23.1,-0.11,94.03,70
2024-10-06 7:40:00,1002,23.1,-0.11,94.03,71
2024-10-06 7:40:01,1001,23.1,-0.12,102.43,72
2024-10-06 7:40:02,1001,23.1,-0.12,102.43,73
2024-10-06 7:40:03,1001,23.1,-0.12,102.43,74
2024-10-06 7:40:04,1001,23.1,-0.12,102.43,75
