Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),Sec
2021-07-10 13:03:48,987.5,17.99,0.26,216.5,1
2021-07-10 13:03:49,987.3,17.99,0.26,218.2,2
2021-07-10 13:03:50,987.2,17.99,0.26,219.05,3
2021-07-10 13:03:51,987.3,17.97,0.26,218.2,4
2021-07-10 13:03:52,987.2,17.97,0.26,219.05,5
2021-07-10 13:03:53,987.4,17.96,0.26,217.35,6
2021-07-10 13:03:54,987.6,17.95,0.26,215.65,7
2021-07-10 13:03:55,987.2,17.93,0.26,219.05,8
2021-07-10 13:03:56,987.3,17.93,0.26,218.2,9
2021-07-10 13:03:57,987.4,17.92,0.26,217.35,10
2021-07-10 13:03:58,987.4,17.91,0.26,217.35,11
2021-07-10 13:03:59,987.6,17.9,0.26,215.65,12
2021-07-10 13:04:01,987.8,17.9,0.26,213.95,13
2021-07-10 13:04:02,987.2,17.89,0.26,219.05,14
2021-07-10 13:04:03,987.3,17.88,0.26,218.2,15
2021-07-10 13:04:04,987.4,17.87,0.26,217.35,16
2021-07-10 13:04:05,987.4,17.87,0.26,217.35,17
2021-07-10 13:04:06,987.2,17.86,0.26,219.05,18
2021-07-10 13:04:07,987.3,17.86,0.26,218.2,19
2021-07-10 13:04:08,987.1,17.85,0.26,219.9,20
2021-07-10 13:04:09,986.9,17.84,0.27,221.6,21
2021-07-10 13:04:10,986.9,17.84,0.27,221.6,22
2021-07-10 13:04:11,987.3,17.84,0.26,218.2,23
2021-07-10 13:04:12,987.2,17.84,0.26,219.05,24
2021-07-10 13:04:13,987.9,17.83,0.26,213.1,25
2021-07-10 13:04:14,986.7,17.83,0.27,223.3,26
2021-07-10 13:04:15,986.9,17.82,0.27,221.6,27
2021-07-10 13:04:16,987.2,17.82,0.26,219.05,28
2021-07-10 13:04:18,987,17.82,0.27,220.75,29
2021-07-10 13:04:19,987.4,17.81,0.26,217.35,30
2021-07-10 13:04:20,987,17.81,0.27,220.75,31
2021-07-10 13:04:21,987.1,17.8,0.26,219.9,32
2021-07-10 13:04:22,987.1,17.8,0.26,219.9,33
2021-07-10 13:04:23,987.3,17.79,0.26,218.2,34
2021-07-10 13:04:24,987.1,17.78,0.26,219.9,35
2021-07-10 13:04:25,987.3,17.78,0.26,218.2,36
2021-07-10 13:04:26,987.2,17.78,0.26,219.05,37
2021-07-10 13:04:27,987.1,17.77,0.26,219.9,38
2021-07-10 13:04:28,987,17.76,0.27,220.75,39
2021-07-10 13:04:29,987,17.76,0.27,220.75,40
2021-07-10 13:04:30,986.8,17.75,0.27,222.45,41
2021-07-10 13:04:31,987,17.74,0.27,220.75,42
2021-07-10 13:04:32,986.7,17.74,0.27,223.3,43
2021-07-10 13:04:33,986.7,17.74,0.27,223.3,44
2021-07-10 13:04:34,986.9,17.73,0.27,221.6,45
2021-07-10 13:04:36,987,17.73,0.27,220.75,46
2021-07-10 13:04:37,986.9,17.73,0.27,221.6,47
2021-07-10 13:04:38,986.5,17.72,0.27,225,48
2021-07-10 13:04:39,986.7,17.72,0.27,223.3,49
2021-07-10 13:04:40,987,17.72,0.27,220.75,50
2021-07-10 13:04:41,986.5,17.72,0.27,225,51
2021-07-10 13:04:42,986.5,17.72,0.27,225,52
2021-07-10 13:04:43,987.1,17.72,0.26,219.9,53
2021-07-10 13:04:44,986.6,17.71,0.27,224.15,54
2021-07-10 13:04:45,987.1,17.71,0.26,219.9,55
2021-07-10 13:04:46,987,17.71,0.27,220.75,56
2021-07-10 13:04:47,986.7,17.7,0.27,223.3,57
2021-07-10 13:04:48,986.6,17.7,0.27,224.15,58
2021-07-10 13:04:49,986.8,17.7,0.27,222.45,59
2021-07-10 13:04:50,986.6,17.7,0.27,224.15,60
2021-07-10 13:04:51,987,17.69,0.27,220.75,61
2021-07-10 13:04:53,986.4,17.69,0.27,225.85,62
2021-07-10 13:04:54,986.5,17.7,0.27,225,63
